diff_h_l_0;diff_o_c_0;diff_h_o_0;diff_c_l_0;vol_total_0;vol_buy_0;vol_sell_0;vol_other_0;nb_tick_total_0;nb_tick_buy_0;nb_tick_sell_0;nb_tick_other_0;nb_price_changed_0;nb_tick_buy_vol_eq_1;nb_tick_sell_vol_eq_1;nb_tick_other_vol_eq_1;nb_tick_buy_vol_2_5;nb_tick_sell_vol_2_5;nb_tick_other_vol_2_5diff_open_low_m1;nb_tick_other_vol_2_5;diff_open_low_m1
4.25;2.75;0.75;0.75;6306.0;1831.0;3078.0;1429.0;3463.0;967.0;1733.0;778.0;364.0;553.0;1098.0;429.0;369.0;572.0;;321.0;1.75
4.75;2.75;0.5;1.5;6849.0;2040.0;3270.0;1574.0;3382.0;1020.0;1726.0;651.0;384.0;555.0;1054.0;266.0;416.0;587.0;;325.0;1.75
1.75;1.25;0.5;0.0;3896.0;1047.0;1446.0;1449.0;1827.0;522.0;695.0;626.0;187.0;299.0;359.0;289.0;199.0;294.0;;273.0;4.5
4.75;3.75;0.25;0.75;8523.0;2772.0;4280.0;1557.0;4736.0;1467.0;2494.0;818.0;527.0;815.0;1652.0;475.0;602.0;760.0;;312.0;4.0
4.75;4.0;0.5;0.25;8104.0;2813.0;3788.0;1525.0;3898.0;1264.0;1947.0;700.0;446.0;634.0;1151.0;334.0;530.0;706.0;;318.0;2.75
4.0;1.5;1.25;1.25;6645.0;2358.0;2857.0;1461.0;3577.0;1286.0;1528.0;781.0;424.0;790.0;892.0;445.0;439.0;572.0;;296.0;5.0
5.25;4.0;0.25;1.0;7730.0;2688.0;3529.0;1568.0;3899.0;1352.0;1838.0;734.0;473.0;749.0;1078.0;399.0;533.0;667.0;;288.0;0.0
6.75;4.75;0.25;1.75;8784.0;2555.0;4273.0;1991.0;4647.0;1336.0;2353.0;978.0;455.0;695.0;1466.0;471.0;577.0;798.0;;453.0;6.0
6.5;6.0;0.5;0.0;9491.0;3240.0;4496.0;1861.0;4973.0;1607.0;2437.0;980.0;565.0;827.0;1454.0;499.0;710.0;903.0;;431.0;0.25
5.25;4.5;0.25;0.5;5779.0;1684.0;2840.0;1294.0;3110.0;903.0;1588.0;640.0;387.0;458.0;971.0;309.0;430.0;584.0;;318.0;4.75
5.0;3.5;0.25;1.25;6509.0;2067.0;3360.0;1113.0;3416.0;1102.0;1799.0;528.0;399.0;569.0;1026.0;228.0;508.0;729.0;;282.0;2.5
2.75;2.0;0.25;0.5;5323.0;1906.0;2256.0;1206.0;2638.0;987.0;1128.0;541.0;328.0;532.0;576.0;258.0;431.0;521.0;;261.0;5.0
6.5;3.75;1.75;1.0;10000.0;3406.0;4680.0;1962.0;4718.0;1567.0;2259.0;915.0;502.0;727.0;1248.0;418.0;785.0;929.0;;479.0;1.0
5.0;3.5;1.0;0.5;5001.0;1529.0;2249.0;1245.0;2659.0;831.0;1206.0;633.0;331.0;426.0;689.0;299.0;392.0;487.0;;324.0;0.5
7.0;5.75;0.5;0.75;7743.0;2508.0;3722.0;1535.0;4060.0;1270.0;2085.0;716.0;532.0;619.0;1216.0;338.0;624.0;842.0;;352.0;0.75
3.0;1.75;0.75;0.5;5020.0;1665.0;2368.0;1012.0;3016.0;968.0;1457.0;608.0;300.0;610.0;932.0;381.0;335.0;503.0;;214.0;1.0
5.5;3.25;0.0;2.25;10219.0;3224.0;5687.0;1387.0;5680.0;1810.0;3142.0;781.0;653.0;1020.0;2042.0;430.0;745.0;1012.0;;339.0;0.25
5.5;4.75;0.0;0.75;7893.0;2478.0;4533.0;905.0;4618.0;1338.0;2768.0;526.0;508.0;686.0;1769.0;282.0;635.0;968.0;;242.0;3.5
3.5;2.5;0.0;1.0;6309.0;2247.0;3168.0;947.0;3702.0;1302.0;1837.0;597.0;434.0;751.0;1169.0;367.0;533.0;641.0;;225.0;1.5
2.25;1.25;0.5;0.5;4449.0;1645.0;2050.0;783.0;2586.0;972.0;1166.0;464.0;258.0;586.0;721.0;253.0;373.0;428.0;;205.0;0.75
3.75;2.75;1.0;0.0;3668.0;1094.0;2039.0;570.0;2092.0;679.0;1090.0;342.0;203.0;390.0;669.0;215.0;287.0;400.0;;119.0;2.75
2.75;1.25;0.0;1.5;5174.0;1811.0;2628.0;751.0;3273.0;1124.0;1677.0;486.0;392.0;718.0;1138.0;320.0;397.0;522.0;;162.0;1.5
2.25;1.75;0.5;0.0;3080.0;907.0;1549.0;636.0;1742.0;576.0;806.0;366.0;207.0;366.0;501.0;234.0;206.0;278.0;;123.0;1.5
2.5;1.25;1.0;0.25;3959.0;1322.0;1985.0;661.0;2393.0;856.0;1140.0;405.0;271.0;557.0;734.0;250.0;295.0;389.0;;153.0;0.0
2.5;1.25;0.75;0.5;2550.0;811.0;1352.0;393.0;1694.0;548.0;903.0;247.0;162.0;373.0;638.0;164.0;173.0;256.0;;80.0;2.0
3.5;3.5;0.0;0.0;3821.0;1197.0;2088.0;574.0;2554.0;842.0;1359.0;384.0;294.0;588.0;914.0;270.0;250.0;434.0;;111.0;2.25
2.75;1.0;0.5;1.25;5024.0;1868.0;2529.0;672.0;3193.0;1177.0;1654.0;398.0;316.0;755.0;1140.0;238.0;408.0;497.0;;155.0;0.75
5.75;4.75;0.0;1.0;12164.0;4075.0;6456.0;1739.0;6313.0;1933.0;3614.0;805.0;738.0;1015.0;2310.0;412.0;787.0;1161.0;;329.0;0.25
3.5;3.0;0.0;0.5;8474.0;2867.0;4220.0;1447.0;4526.0;1537.0;2251.0;761.0;556.0;913.0;1369.0;421.0;565.0;775.0;;307.0;4.0
5.25;3.0;1.25;1.0;10934.0;3978.0;5424.0;1599.0;5419.0;1948.0;2775.0;725.0;559.0;1122.0;1697.0;379.0;701.0;944.0;;292.0;0.0
6.5;5.25;0.25;1.0;7106.0;1858.0;4339.0;946.0;4191.0;1034.0;2633.0;549.0;447.0;608.0;1785.0;318.0;392.0;791.0;;215.0;0.75
8.0;6.25;1.0;0.75;12195.0;3781.0;7083.0;1388.0;6230.0;1990.0;3528.0;741.0;799.0;1103.0;2192.0;418.0;811.0;1152.0;;298.0;2.5
3.0;2.0;0.75;0.25;7244.0;2918.0;3248.0;1115.0;3829.0;1527.0;1692.0;631.0;484.0;875.0;977.0;358.0;588.0;658.0;;253.0;2.75
3.75;2.5;1.0;0.25;6137.0;2121.0;2903.0;1157.0;3253.0;1100.0;1601.0;573.0;407.0;586.0;968.0;292.0;474.0;589.0;;257.0;1.25
1.75;1.0;0.5;0.25;7808.0;3396.0;3203.0;1243.0;3645.0;1482.0;1591.0;591.0;400.0;739.0;884.0;325.0;650.0;630.0;;231.0;7.25
